Smiles,Score
CC(O)(CNS)NF,0
CC(C)(CN)ON(F)Cl,0
CCCC(N)(P)CC(OC)C(C)N,0
CCC1(O)C(C)CCC1(C)C,7.986200094
COCCN(O)CC(N)(Cl)N(C)N,0
CCC1(C)NC(C)O1,0
CNC(C)(CN)CC(C)(CO)OC(NS)=C(C)N,0
CCC1(C)C(CC(C)N(C)ON)C(=O)C(C)C1(CO)NP,0
CC(O)(O)c1c2cc(CO)c(N)c1O2,0
CN(O)CON,0
CCONN(C)C,0
CC[SH](C)(C)(O)N(O)C(O)(CO)OCl,0
C=C(C)C(C)(CNC(C)C)C(COC)C(C)(O)CN,6.09617281
CCOC(CC)(C(O)ON)C(C)(C)C,0
CO[SH]1CC(C)(CCC(C)(C(N)CO)C(C)(Cl)CO)O1,0
CCC(C)(NN)N(N)N(NC)C(N)(N)N(C)C,0
Cc1c(CC(C)(O)Cl)ccc(O)c1F,0
Cc1cc(Cl)c(OCl)c(C(C)C(N)O)c1S,0
CCCCC(N)OC,0
CCC1C(O)C(N)(N)CC(=N)C(C)(C)C1C,0
CC(C)C1(C(C)O)CC1(C)Cl,6.193965912
C[SH](C)C(C)(CF)C(O)C1(C)CCO1,0
CC=CC(C)(O)C=COC,7.484961033
CCSO,0
CCC(O)C(C)(NF)C(O)CC,0
CCNC1=C(COOC)C(C)(C)C(C=O)=C1C(O)(CO)NO,0
Cc1cccc(N)c1,9.818157554
CCC1N=C=C1C,0
NCON(C(N)O)C(O)CN,0
CON(C)N(C)N(N)OC,0
C=[SH]NNC,0
CCC(O)NC(N)(O)C(Cl)ON,0
CCCCOC(CC(C)C)=NC(C)O,0
C=CC(C)NCN,0
COC(C)CC(C)(O)CCO,7.7344594
CNOOC,0
OCC(O)C(O)F,0
COC(C)(C(C)Cl)C12C3C4C1C3(C(C)O)N42,0
CC=CCCC(N)C(C)F,6.266559601
CCCC(OC)c1c(C)c(O)c(N)c(N2CCO2)c1O,0
C=C(F)C(C)O,8.443855762
CCC1CC23CC(CC4CC1N4)(O2)O3,0
CCc1c(C)c(N)cc(P)c1C,0
COOS1(C)(C)(CO)CN(C)N1C,0
CNCC(C)(C)CC=CC(O)C(C)F,5.984183311
C=C(C(CN)(CN)NCCl)C(C)(OC)C(NC)C(C)(C)N,0
CNC1(O)N([PH](C)(C)C)N(C(C)O)C1(C)C,0
CNc1cc(C)c(C)c(N)c1CF,6.884733677
CC(=O)c1c(N)cc(N)c(C)c1C,7.990803719
CCC(CC)(NC)OC,0
CC1=C(CCN)C=C(CN(C)O)C1,0
CCc1cc(PN)c(N(N)F)c(C2(PO)CC(CC)(COC)O2)c1,0
CCC(S)=CF,0
CCOc1ccc(C)c(O)c1N,7.525661469
Cc1ccc(C)c(CN)c1,9.725642562
CC(N)=C=C(CO)ON(O)F,0
CONC(P)OC,0
COC1=C(CO)C=C(N)C1F,0
CCNCN,0
CC(C)(F)C(N)CC1NCO1,0
CCNC(O)(F)C(C)C,0
CCC(C)=CO,0
COC(C)(N)N(O)F,0
CCCC(N)(C(CON)=C(O)CC)C(C)C(O)O,0
CCC(C)(O)C(COC)C(C)(O)OC,0
CCCC(C(C)C(C)N)N(C)CC(=CCN(O)CO)CN,0
CC1C(C)C1(ON[PH](O)(F)C(C)C)N(C)O,0
CCN1NN(F)C1O,0
CCC(C)C(NNN)C(C)(P)OOC(C)C,0
C=CC(ON)C(C)N,7.0340662
COC(CCC(N)F)OO,0
COP(C(C)O)C(N)(F)ONO,0
CCC(C)(C(C)C(F)CN)C(O)C(C)(C)C(C)OC,0
CCC(C)(N)C(O)C(C)CC(COO)PO,0
CCC(C)(N)C(SC)C(O)F,0
C[SH](C)O,0
CCC(C)N(CCl)C1(NC)C(O)CCCCC(NNC)C1N,0
CCC1C(O)CCC(O)(F)CCC(C)(N)C1C,0
CC(C)(C)C1(N=O)C2CP1C2O,0
CC(N)C1CPN1Cl,0
CSNc1c(C(C)CC(C)N)c(C)c(C)c(C)c1C(C)(C)O,0
CC(C)(OCO)N(N)O,0
C=C(CN(Cl)NCN)C(N)CN,0
CC(=CCO)P(P)Cl,0
CON(Cl)CS,0
CN(C)C(C)(N)N,0
CNC(F)NCl,0
CNC(C)(O)NC(C)(C)C,0
CCC(CC)(CN)C(C)(C)O,8.182699203
CON(N)C=C=CC(C)=C(F)C(CC(C)CN)C(C)(F)F,0
CC1(C)CCC(O)CC(C)(OO)C1(C)N,0
C=S1(CO)(C(O)CNC)N2CC1(C)C2(C)C(O)(S)NO,0
CN1NCN1O,0
CCN=C(CF)N(CNN)NC(C)CC,0
CCNN(CP)NN,0
Nc1cccc(CCP)c1,0
CCC(O)(S)N(CNC)OO,0
CCC(N)CC(C)(C)O,7.923701286
CC(Cl)CCc1ccc(Cl)c(O)c1,7.659900188
CCNc1c2c(O)c(O)c(P)c1O2,0
CC(C)CC=CNCO,0
CC(O)=C(C)CCP,0
CNC(CO)CCl,6.803107262
COCC(N)O,0
C=CC(O)=CN(C)CS,0
CC=C(C)CC(O)N(N)Cl,0
CCC1CN(C2(N)NCC2(N)OC)N1,0
CC1NNC1(C)OS,0
CC1=C(S)C(N)=C(O)C1,0
COCC(O)OO,0
CCC(C)C(F)(CNN)C(N)OO,0
CCOOC(O)NOC,0
CCC(O)C(N)(O)C(O)CCN,0
CNC(C)(O)C(C)F,0
CC(CO)C(ON(N)O)PO,0
COCC(F)(CN)C(N)NSC,0
CCC(CC(C)N)OC,7.459255457
CCOC1(OCl)N2CC1(C(C)(O)C(C)N)C2C,0
CCC(C(C)C)C(CN)ON,6.615049839
CC(N)(O)C1(C(F)NOF)CCO1,0
COC(NN)(OC)OO,0
CC(C)(NN)OCl,0
CNP(N)C(CC(N)(N)O)OC,0
C=CC(N)CC1(CC(N)O)NOO1,0
CNNc1c2c(N)c(NC)c(CN)c1O2,0
CCPC(O)(OC)c1c(N(C)OO)ccc(C(C)N)c1OO,0
CCc1c(C)ccc(CNN)c1C,7.221874237
CNC(C)COC,8.758451462
CCC1(C(C)CN)C(C)(N)C1(C)N,0
CCC(C)(NC)C(C)(O)O,0
CCSC(NON(O)C(O)CN)(OC)N(N)P,0
CC(Cl)N(N)N1C2ON1C2C,0
CCC(CCO)(OC)C(C)Cl,7.227041245
CNC(F)N(C)OC(O)(F)P,0
CCC(CC(O)(Cl)CCl)CC(CCCF)(NC)NC(C)C,0
CNC=C(C)C(NOCl)C(O)CC(C)C(N)C(C)C,0
Cc1c2c(S)c(c(OC(Cl)P(C)C)c1OC1OOC1(C)O)O2,0
CPc1c(O)cc(C)c(C)c1C,0
CCON(NOO)N(OC)SCC,0
CCOC1=CC(N)C=C1CO,0
CNCC(N)=C(F)C(C)P,0
CCC(C(N)OON)C(O)(CO)C(CO)CC(PC)C(C)(N)CO,0
CCC(O)C(C)(C)C(C)C(C)(F)CC,6.750896454
CC(CN)ON(ON)C(SS)C(O)(O)F,0
COc1c(O)c(CN)c(CN)c(Cl)c1[SH](N)F,0
Cc1cc(ONN)cc(N)c1C(N)CO,0
COOC(O)C(N)(N)C(C)(N)C(N)(O)O,0
CCCN(OC)[SH](NOC)C(CN)(COC)C(C)(C(N)OC)C(F)OC(O)F,0
CCc1c(C)c(OC)c(C=O)c(N(C)S)c1NO,0
Cc1c(F)ccc(N)c1P,4.912873745
CCCCC(NC)c1ccc(CCC)c(OC)c1S,6.184631824
CCC(O)(NO)N(F)C(C)(COC)COO,0
CCOC=NC(F)CCO,0
CCC(NOO)=C(CN(CO)NN)OF,0
COC(C)C(O)CCO,7.592517853
CNC1=C(CNP(C)CN)C(C)=CC1(C)OON,0
COCc1c(CCO)cc(OO)c(CO)c1O,0
CC(O)c1cccc(C(Cl)C(C)O)c1CCl,5.826004505
CC(CO)C(C)C(C)C(O)CN,6.59679985
CCC(N)(F)C1(N(N)NO)NCO1,0
CCc1c(C)c(CO)cc(C(O)C(C)(O)CC)c1P,0
CCCN(C)NC(=NC)OO,0
CCOC(N)c1cccc(CO)c1,0
CCC1=CC(N)C(CC)=C1,6.14185524
CCCC(C)(C)C,8.815131664
Cc1c(N)cc(CC(C)C)cc1CP,0
COc1c(O)c(C(C)(C)C(C)F)c(C)c(O)c1ON,2.233972549
CC(=N)c1ccc(CS)c(F)c1,0
CCC(N)(N(C)N)C(C)(N)Cl,0
CCC(CNN)[SH](O)C(N)(C(N)O)N(C)O,0
C=C(C)CN(CC)OC,0
C=C(C)N(CC)C(C(=CC)N(C)F)C(C)C,0
CCN(NC)N(N)CNS,0
CCC(O)CC(C)(N)CO,6.989388943
Cc1c(O)ccc(F)c1N,7.695686817
COOc1ccc(C(C)C)cc1C,0
NC(S)N(F)OO,0
CCN1c2c(N)cc(F)c1c2N,0
COC(N)(C(C)C)N(OC(C)(Cl)OO)C(C)O,0
Cc1cc(C(CN)CN)c(C)c(O)c1N,7.39015913
C=C(N)CC(=CC)CC,0
C=COCc1c(C=N)c(F)c(C)c(CC)c1OC,0
CC(CS)=C(C)C(C)O,7.284975767
CNCC(N)C(C)CF,6.702059269
Cc1cc(O)cc(C=N)c1N,0
CCOc1c(CON)c(OC)c(N)c(OC)c1COO,0
CC(C)(NF)C(F)=C(CO)C(O)(CO)OO,0
CCOC1([SH](C)N=S=CO)CC(C)(NOC)N1,0
CC(P)CCCCl,0
CNNC(C=O)OP,0
C=C1OOC1(CC)C(C)(CC)CN,0
CCC1(O)C(=O)C(O)(OC)C1(CO)OC,0
CCC1(C(C)C)CON1,0
CCN(O)CC(OC)(OON(N)N)C(O)(CC)C(=CO)C(C)N,0
CNNC(C)CCO,0
COCc1c(C)c(P)cc(C(C)(C)ONOC)c1C(O)=CO,0
COC1=C(O)C(ON)(C(C)O)C=C1NO,0
Cc1cc(CSCON)c(NO)c(C)c1C,0
CCC(O)c1cccc(C(CCl)=C(C)N)c1C,0
C=C(C(NC)C(C)CC=CC)N(F)F,0
COC(O)(NP)C(N)=CN,0
CCC(O)(CC(CF)COC)C(C)N,6.490409851
CC=CCC(N)=C(O)CC,0
CCC(N)(N)C1N2CC1(NC)C2C,0
CCC(O)C(N)C(C)(N)CCC(C)(CN(N)NN)C(C)(C)CC,0
CC1N(C)NC1(C)N,0
CC1(N)CCO1,0
CC(NCSN)NON,0
C=C(OS)C(C)OC,0
COS(C)(Cl)CC(C)O,0
CCC(=C(N)OOF)C(CC)OO,0
CCC1C(C)NN1OCO,0
C=NN(O)C(F)CCO,0
CCC(Cl)C(C(N)(S)CN)C(N)(O)C1(C)OC(C)C1O,0
CCc1c(C)c(C(CO)(OC)ON)cc(NC)c1N,0
CCCC(=C(CC)CNN)C(C)F,6.99288559
COC(N)ONN(CF)OCO,0
ONN(O)F,0
CCC(OC)C1CC(=O)C(C)C(C)(O)C(CC)C1C,0
CC(N)(CO)OOS,0
CCC(O)C(C)C1OC(C)(SC)C1(N)CO,0
CNC(C)(O)c1cc(NC(C)OC)c(CON)c(OO)c1C,0
CCC1(C)CC(NC(C)N)O1,0
COC(C)C(C)(Cl)CCCN,7.051688671
CCC1CC(NP)C(O)(O)CCC(C)(C)C1(F)CN=N,0
C=C(N)N(ONN)C(C)(O)CF,0
CCCl,0
CNC(=O)CN,9.830701351
CCN(O)C1(C)CC(N(F)OCl)N1,0
CC(=N)C(O)(ON)OC(O)N(C)N,0
CC(F)C(P)OOS,0
Cc1c(N)c(N)c(P)c(C)c1N(N)N,0
CCOC1C(C)CC(N)CC(C)(OP)CC(ON)C1(C)S(N)(O)CC,0
CCC(C)(O)C(N)F,0
NPN(CNO)N(CNO)NO,0
CC1(F)CC(P)C1O,0
C=C(N)C(OF)C(CC)(CCC)C(C)CC,0
CC(CS)OC(C)(O)F,0
CCC1N2C(C)C1(O)N2O,0
CCC(C)(OC)C(CN)(CO)C(C)(C)C,6.103352547
CCC1C(C)(F)C(O)C1(C)CO,0
CC1C(C)C(C)(C)C1C(F)(F)CF,5.934815407
COCON1CC(C)N1,0
CC(CNF)N(N)Cl,0
C=C(OO)C(Cl)(C(O)(O)CC)C(Cl)(CNO)OCC,0
COC(C)C(N)(O)NO,0
CNN(NC)ONC(C)NOO,0
CC=Cc1cc(CON)c(N(C)O)c(C(N)(Cl)ON)c1C(C)C,0
CNc1c(C)c(O)cc(S)c1C1(C)NCO1,0
CCC(=CC(C)Cl)ON,0
CCc1cc(O)c(CC(C)C)c(N)c1C,7.010640383
NONS,0
CCC(C)c1cc(NO)c(C)c(F)c1C,7.240731716
Cc1ccc(C)c(N2CCO2)c1,0
CN1CCC1C(N)(O)C(O)F,0
CNC(N)(OC)C1CON1O,0
CNC1C(CN)C(COC)C(N)(Cl)C(N)C(N)(F)C1N,0
CC(Cl)C1(CN)CCO1,6.90813303
CNC(C)C(OCO)C(C)N,0
CN(N)C(C(C)(C)C)C(C)(ON)C(C)(C)N,0
CC(O)C(C)C(=N)N(N)C(C)F,0
CC(CO)OC(F)N(O)S,0
CC(C=O)CC(C)C(C)(N)COO,0
CCc1c(C)c2cc(c1Cl)O2,0
CNc1cccc(N(C)O)c1C,0
CN(N)c1ccc(CN)c(N)c1,6.268832684
CCC(C)c1c(NN)c(OS(C)(N)O)c(Cl)c(C)c1C(C)O,0
CCC(N)(O)C1(C(N)(O)O)OC(CF)N1F,0
CCC(CO)C(C)N(C)Cl,0
CC1=C(PN)C=C(N)C1P,0
C=C(c1c(C)c(C)c(O)c(N(O)F)c1C(O)(OF)N(N)ONO)N(C)C,0
CC(CCCOO)C(N)(F)ON,0
CNC(Cl)C(OOCN)(C(C)=O)C(C)N,0
Cc1c(F)ccc(P2(C)(F)NCO2)c1N,0
CNCCC(Cl)(OOON)N(O)Cl,0
C=C(OCF)C(C)(C)O,0
CCc1cc(O)c(C)c(C)c1O,8.936333656
COc1c(C)ccc(CCS)c1PP,0
CCOCc1c(C)c(C(C)N)c(PC)c(Cl)c1CC,0
CN(O)C(O)(CN)C1(CCF)C(ON)C1(O)F,0
CC(C)ON(C)C(C)S,0
Cc1cc(Cl)c(O)c(N)c1C,8.624719381
CCC(C)C(C)C(C)(C=O)C(C)(O)C(N)C(O)S,0
COC(O)(OCO)C(O)(CNO)[SH](C)CO,0
CNC(CN)(NNN)C1CC(N(O)OC)CC1F,0
C=C(N)C(Cl)=C(C)C(O)(O)CO,0
CCC(CC(F)OC)C(N)(CCC(C)O)NO,0
NCCN(N)O,0
CC1=C(PONN)C(F)C=C1CCNF,0
CCCc1c(N(C)CO)ccc(O)c1Cl,0
CSC(C)(N)N(F)C(C)F,0
CCCC(CCCO)=C(C)C(=P)S,0
FCC1COO1,0
CCC=CC(N)(CC)CN,6.919127941
C=C(CC(C)CC)CC(C)COO,0
CC(CCO)C1CC(CC=CCN)O1,0
Cc1c2cc(C(C)O)cc1O2,0
CNc1c(CO)c(C)cc(C)c1OCO,0
CCc1ccc(N(C)OC)c(C)c1C,0
C=C(C)C=C(ON)C(N)CC,0
CCON(C)C1(OCC)CC(OC)CC1C(C)C(C)(N)N,0
CCC1CCC(C(C)O)C(N)C(N)C(O)(S)C(C)(NC)C1(NC)NC,0
COc1c(CCO)ccc(NN)c1CO,6.84822607
CNC1(CC(C)F)CC(C(C)(C)N)(C(C)(C)P)N1,0
CCc1c(N)c(C)c(N)c(F)c1O,7.065573215
CC(O)COOC(N)(O)C(C)NO,0
CCC(C)(C)C(C)(N)CO,7.422903538
CN(ON)N(N)C(N)O,0
CCc1cc(OOC)c(C(C)CP)c(CN)c1C,0
CCN(C)C(N)CNPC,0
CC(N)(ONN)C(N)O,0
CC(O)(C(CO)OO)C(N)(CCO)NO,0
CNOC(C)C(CC(C)(N=N)OO)C(C)(N)CF,0
CCCc1cc(F)c(N)c(C)c1C,7.713701248
COc1c(C)cc(CO)c(NO)c1C(C)N,6.241592407
CCC(C(O)CO)C(F)(CN)CO,0
CC1C(O)C=CN1CO,0
CCCC(P)(CCCC(C)C(C)C)C(C)O,0
CON[SH](C)O,0
CCC1=C(ON)C(C(O)C(O)OC)=CC1,0
CCC(SC)=C(C)N,0
CC=C(CC)C(C)(O)F,0
CN=C(N)CS,0
CC(F)C(N(C)CO)C(C)(N)NCl,0
CCc1c(C)cc(O)c(C(C)(N)N)c1N,0
NONC1(N)Nc2cc(C(N)CCl)c(CPO)cc21,0
CC(=N)C(CO)(CC1(O)CC(C)P1)C(N)F,0
CCC(CC)C(N)(S)C(OC)OC,0
CCS(C)(C(C)O)C1OCS1,0
CC(N)C1(N)C(O)CCC1(C)O,0
CCC(O)(NC1OCC1(C)[SH](C)SN)N(C)C,0
CC(C)CCC(OCl)C(N)(C(N)F)C(C)OP,0
CCC1(C)CC(NO)C1(CC(C)C)C(N)(O)C(C)NO,0
C=NC1(C)C(CC)CC(CP)C1O,0
CC(C)N(SPCO)N(O)OOC(C)(C)N,0
CCC(C)(CCC(C)C)C(C)N,7.442698956
CC(F)=C(NC(C)N)C(C)(C)O,0
Cc1cc(C)c(C)c(Cl)c1C,8.688100338
Nc1cc(O)c(C2CC(O)O2)c(OO)c1O,0
OC(F)(NF)OCF,0
CCONOC(C)(CO)C(=C(C)CO)C1(C)CCN1,0
CCC1(C)C(C)N(C)C1(N)C(N)Cl,0
COc1c(O)c(N)cc(C)c1C(C)O,6.82476759
CCC[SH](N)F,0
CNCC(O)OO,0
CCCC(N)(O)C(N)(ON)N(N)C(NC)SC,0
CCC1(O)CC(O)(Cl)C1OCOC,0
CCCC(N)(CC(O)OCC)C(C)(F)C(C)(CCO)C(C)C,0
CC(O)CN(C)C(S)=CO,0
CCC(N)N(CO)OC,0
CN1N2CC1(C)S2(N)O,0
NOC1CCC(O)C1,7.805504322
CCN(O)C(F)=C(C)C(C)(N)CF,0
COC(O)CCCN,0
CCC(N)c1c(C)c(C)cc(C)c1N,7.740108967
CON1OOC1C(C)(N)P,0
CCOC(C)(ON(C)CN)N(C)CN,0
COC(Cl)(ON(C)O)[NH+](N)[O-],0
CCC(O)CC(F)C(F)S(C)(C)(N)=NN,0
CCCC(ONC)C1(N)C2NN1P2C,0
CC(S)C(O)CN,7.426475048
CC1=CC(C)C=C1N,0
CNCC(C)(O)CC(C)(C)P,0
CC=C(C)CONF,0
CCC1(C(N)(CCl)C(CN)CCF)CC(C)N1,0
CNCN(OOC)N(C)C,0
C=C(N)CF,0
C=CC(C)(OC(C)F)C(N)NO,0
CNC(O)C(N)(OC(C)OS)C(C)(N)NC,0
CC(F)C(C)(S)C(C)(N)CCl,6.206026554
CCC(C)CCF,8.961945057
CC(C)C(N)F,0
N=NNNO,0
OC1C2CN1P2,0
CCC(NNC)C(N)(CN)COC,0
CC(F)N1C2CC1(OF)P2N,0
CCC1=C(CCS)C(O)=C(C)C1S,0
CONC(C)(F)c1cc(N)cc(C(O)(F)NF)c1,0
NOc1ccc(N)cc1CCO,7.027298927
C=C1CCC(N)CC(C)CC(ON)C1O,0
CCOC(N)P,0
CNC(C)c1c(C)c(C)cc(P)c1OC,0
CCC(C)CCC(O)(CC(CC)C(C)OO)OC,0
CNOc1cc(C)c(N)cc1P,0
COOOP(C)OC,0
CCC1(C(C)C)CP(C)O1,0
Cc1c(CO)cc(C(C)(N)C(N)F)c(O)c1C,0
CC(Cl)C(CP)=NO,0
CON(C)C(N)(CCO)C(N)(F)CON,0
CCCOCC(C)(O)C(C)N,7.507843971
CNC(C(C)COC)C(N)CO,5.549981117
CN=CC1(N)OC(S)(C(C)N)C1C,0
Cc1c(CCS)c2cc(c1COCO)O2,0
CC(=N)CC1(NCO)CC(S)(Cl)C1(N)O,0
CCN(CN)C(CN)COF,0
Cc1ccc(P)c(C)c1CN,5.6016469
C=C(C)C(CC)NC(C)N,0
OCC(O)(Cl)OCSO,0
CC1CC(N)(N)CC(C)(C)C1O,0
CSC(C)C(N)C(N)C(C)C,6.009370804
CCCC(C)(Cl)C(N)(COF)OC,0
CNC(Cl)NO,0
CC(N)=C(CN)C(C)(N)F,0
CCCN=NC(F)CNC,0
CNC1(F)C(O)C(N)C1(N)OC,0
CC(O)CC(C)(O)C(N)(F)C(C)O,0
C=CC(O)(C(O)(O)OC)C(Cl)(OO)C(F)(NC(N)CC)C(C)F,0
CON=C(CO)NC1(O)CNO1,0
CC(=O)CCN,9.64224112
NCN(SNN)C1NN(N)O1,0
CO[PH]1(C)NN(C(C)(O)F)O1,0
COCc1c(O)c(N(NN(C)C)OF)cc(C(C)C)c1N(F)ON,0
CCC(NNN)C(N)C(C)=O,0
CC(N)(F)C(C)(F)N(F)NCN,0
CCC1(CF)CC(C)N1,6.957091331
CC(O)C(C)(ON(C)O)C(C)(C)O,0
CCCCCCF,8.990561485
CPN(CCl)CCCON,0
CC=Cc1cc(OO)c(N)c(C(C)C)c1CC,0
CC(C)(N)N(CCCN)NO,0
CN=C(NCNSC)S(C)(O)(O)(CCO)C(CCl)C(C)(O)NC,0
CCN(COC)C(=C(N)NN)N(CO)OC(N)(O)CN,0
NOC(O)(PO)c1ccc(C(N)OO)c(S)c1N,0
CCC(C)C(S)(CCN(C)CC)C(O)O,0
COc1cc(C)c(CCl)cc1OCO,0
C=CC(C(CO)OO)C(CO)(C(N)CF)N(N)O,0
CO[SH](C)C1CC=C(N)C1(N)F,0
C=C(PO)C(C)(C)P(N)OC,0
C=C(COC)C(O)C(C)(CO)OC,7.041739941
CC(O)(Cl)C1(C)C[SH](N)O1,0
CNC(C(C)CO)C1(OC(O)CCl)OC(O)C1C,0
CC(O)C(C)C(C)C(C)C(O)O,0
CCc1c(Cl)ccc(N(C)O)c1N(NN)C(C)O,0
CC(O)(CN)CC1(O)P2CC1(N)O2,0
CCCC(C)(Cl)CC,8.012176037
CCOC(O)CC,8.644800663
NCCNN,8.623274088
CCC(C)(C)CC(C)(N)CC1(CCCO)COO1,0
CCc1c(OC(C(C)[PH](C)(N)O)N(C)N)cc(C)c(CCl)c1C,0
NCN(N)C1(N)C=C(N)C=C1CO,0
CNC(C)C1(C)CC2(CCO2)CC(C)(OC)C(CN)C1OP,0
CCC(F)CC(F)N(C)C,0
CC=C1OC(P)(NC)C(N)(O)C2N(OCO)C1(OON)C2(C)N,0
CNCC(C)(P)OOC,0
C=NC(CCC)(OC)C1(CC(N)(CN)CS)CCN1,0
Cc1c(C)c(N)c(O)c(OOO)c1C,0
CCC(C)C(CO)(CF)SC,6.608834743
C=C(N)C(C)(O)C(C)(C)O,0
CCC(C)(CCl)C(C)(S)CC(N)(CN)CO,0
CSCc1cc(OO)cc(C)c1O,0
CCN1OC(NS)C1CN,0
CCN(CO)C1(C(C)(N)OC)C(N(CN)PC)C1C(C)(F)CNN,0
OCN=NC(O)(F)OO,0
COC(C)(CN)CCCN,7.549174786
CCC(=NC)NOO,0
CC1NOO1,0
CCON(S)C12ON(C1O)C2(C)NO,0
CC(C)(N)C1C[PH](C)(C)O1,0
CCC(Cl)(OCON)N(F)C(N)=NC,0
CNC1(C)CC(COC)(NOC(N)N)N1,0
CCc1c(F)c(CC)c(N(N)O)c(F)c1CN,0
CC(CP)C(=N)N(N)OON,0
C=C(c1cc(CCC)c(C)cc1CC)N1CN(CN)O1,0
C=C(C)C(CO)N(NF)OC,0
CC(O)C1(N)C(O)C(C)(NO)C1(N)C(C)F,0
CCC(C)C(C)(C)CC,8.522416592
CCc1c(Cl)cc(OS)c(OF)c1N,0
CCC(N)C(C)CCC(C)O,6.703013897
CCC1=C(O)C(ON)(C(C)(N)N(N)O)C(N)(F)C1,0
CN(C)OO,0
C=CC(C)(SOC)N(N)O,0
